user_id,screen_name,log_time
user_1,A,2024-01-01 00:00:00
user_1,B,2024-01-01 00:01:00
user_1,C,2024-01-01 00:02:00
user_1,D,2024-01-01 00:04:00
user_1,E,2024-01-01 00:07:00
user_1,F,2024-01-01 00:08:00
user_2,A,2024-01-01 00:00:00
user_2,B,2024-01-01 00:03:00
user_2,C,2024-01-01 00:05:00
user_2,D,2024-01-01 00:07:00
user_2,E,2024-01-01 00:08:00
user_2,F,2024-01-01 00:10:00
user_3,A,2024-01-01 00:00:00
user_3,B,2024-01-01 00:01:00
user_3,C,2024-01-01 00:04:00
user_3,D,2024-01-01 00:07:00
user_3,E,2024-01-01 00:10:00
user_3,F,2024-01-01 00:13:00
user_4,A,2024-01-01 00:00:00
user_5,A,2024-01-01 00:00:00
user_5,B,2024-01-01 00:01:00
user_6,A,2024-01-01 00:00:00
user_6,B,2024-01-01 00:03:00
user_6,C,2024-01-01 00:04:00
user_7,A,2024-01-01 00:00:00
user_8,A,2024-01-01 00:00:00
user_8,B,2024-01-01 00:01:00
user_8,C,2024-01-01 00:04:00
user_8,D,2024-01-01 00:05:00
user_9,A,2024-01-01 00:00:00
user_9,B,2024-01-01 00:01:00
user_9,C,2024-01-01 00:03:00
user_9,D,2024-01-01 00:05:00
user_9,E,2024-01-01 00:07:00
user_9,F,2024-01-01 00:09:00
user_10,A,2024-01-01 00:00:00
user_10,B,2024-01-01 00:02:00
user_11,A,2024-01-01 00:00:00
user_12,A,2024-01-01 00:00:00
user_12,B,2024-01-01 00:03:00
user_12,C,2024-01-01 00:06:00
user_12,D,2024-01-01 00:08:00
user_12,E,2024-01-01 00:09:00
user_12,F,2024-01-01 00:10:00
user_13,A,2024-01-01 00:00:00
user_13,B,2024-01-01 00:01:00
user_13,C,2024-01-01 00:02:00
user_13,D,2024-01-01 00:05:00
user_13,E,2024-01-01 00:06:00
user_14,A,2024-01-01 00:00:00
user_14,B,2024-01-01 00:03:00
user_15,A,2024-01-01 00:00:00
user_15,B,2024-01-01 00:03:00
user_16,A,2024-01-01 00:00:00
user_16,B,2024-01-01 00:02:00
user_17,A,2024-01-01 00:00:00
user_17,B,2024-01-01 00:03:00
user_18,A,2024-01-01 00:00:00
user_18,B,2024-01-01 00:01:00
user_18,C,2024-01-01 00:04:00
user_18,D,2024-01-01 00:05:00
user_18,E,2024-01-01 00:07:00
user_19,A,2024-01-01 00:00:00
user_19,B,2024-01-01 00:01:00
user_20,A,2024-01-01 00:00:00
user_21,A,2024-01-01 00:00:00
user_21,B,2024-01-01 00:03:00
user_22,A,2024-01-01 00:00:00
user_22,B,2024-01-01 00:01:00
user_23,A,2024-01-01 00:00:00
user_23,B,2024-01-01 00:01:00
user_23,C,2024-01-01 00:04:00
user_23,D,2024-01-01 00:05:00
user_23,E,2024-01-01 00:07:00
user_23,F,2024-01-01 00:10:00
user_24,A,2024-01-01 00:00:00
user_24,B,2024-01-01 00:03:00
user_24,C,2024-01-01 00:04:00
user_24,D,2024-01-01 00:07:00
user_24,E,2024-01-01 00:09:00
user_24,F,2024-01-01 00:11:00
user_25,A,2024-01-01 00:00:00
user_25,B,2024-01-01 00:02:00
user_26,A,2024-01-01 00:00:00
user_26,B,2024-01-01 00:02:00
user_27,A,2024-01-01 00:00:00
user_27,B,2024-01-01 00:03:00
user_28,A,2024-01-01 00:00:00
user_28,B,2024-01-01 00:01:00
user_28,C,2024-01-01 00:04:00
user_28,D,2024-01-01 00:05:00
user_29,A,2024-01-01 00:00:00
user_29,B,2024-01-01 00:03:00
user_30,A,2024-01-01 00:00:00
user_30,B,2024-01-01 00:03:00
user_30,C,2024-01-01 00:06:00
user_30,D,2024-01-01 00:07:00
user_30,E,2024-01-01 00:09:00
user_31,A,2024-01-01 00:00:00
user_32,A,2024-01-01 00:00:00
user_32,B,2024-01-01 00:02:00
user_33,A,2024-01-01 00:00:00
user_33,B,2024-01-01 00:01:00
user_33,C,2024-01-01 00:03:00
user_33,D,2024-01-01 00:05:00
user_33,E,2024-01-01 00:06:00
user_33,F,2024-01-01 00:08:00
user_34,A,2024-01-01 00:00:00
user_34,B,2024-01-01 00:02:00
user_35,A,2024-01-01 00:00:00
user_35,B,2024-01-01 00:03:00
user_36,A,2024-01-01 00:00:00
user_36,B,2024-01-01 00:03:00
user_37,A,2024-01-01 00:00:00
user_37,B,2024-01-01 00:02:00
user_38,A,2024-01-01 00:00:00
user_38,B,2024-01-01 00:01:00
user_38,C,2024-01-01 00:04:00
user_38,D,2024-01-01 00:05:00
user_39,A,2024-01-01 00:00:00
user_39,B,2024-01-01 00:03:00
user_40,A,2024-01-01 00:00:00
user_41,A,2024-01-01 00:00:00
user_41,B,2024-01-01 00:03:00
user_41,C,2024-01-01 00:04:00
user_41,D,2024-01-01 00:07:00
user_42,A,2024-01-01 00:00:00
user_42,B,2024-01-01 00:01:00
user_42,C,2024-01-01 00:04:00
user_42,D,2024-01-01 00:06:00
user_42,E,2024-01-01 00:08:00
user_43,A,2024-01-01 00:00:00
user_43,B,2024-01-01 00:01:00
user_43,C,2024-01-01 00:03:00
user_43,D,2024-01-01 00:04:00
user_44,A,2024-01-01 00:00:00
user_44,B,2024-01-01 00:01:00
user_45,A,2024-01-01 00:00:00
user_45,B,2024-01-01 00:03:00
user_46,A,2024-01-01 00:00:00
user_46,B,2024-01-01 00:01:00
user_47,A,2024-01-01 00:00:00
user_47,B,2024-01-01 00:02:00
user_48,A,2024-01-01 00:00:00
user_48,B,2024-01-01 00:02:00
user_49,A,2024-01-01 00:00:00
user_50,A,2024-01-01 00:00:00
user_50,B,2024-01-01 00:02:00
user_51,A,2024-01-01 00:00:00
user_51,B,2024-01-01 00:01:00
user_51,C,2024-01-01 00:02:00
user_51,D,2024-01-01 00:04:00
user_51,E,2024-01-01 00:07:00
user_52,A,2024-01-01 00:00:00
user_52,B,2024-01-01 00:03:00
user_53,A,2024-01-01 00:00:00
user_53,B,2024-01-01 00:02:00
user_54,A,2024-01-01 00:00:00
user_55,A,2024-01-01 00:00:00
user_55,B,2024-01-01 00:03:00
user_56,A,2024-01-01 00:00:00
user_56,B,2024-01-01 00:01:00
user_57,A,2024-01-01 00:00:00
user_57,B,2024-01-01 00:01:00
user_57,C,2024-01-01 00:04:00
user_57,D,2024-01-01 00:05:00
user_57,E,2024-01-01 00:07:00
user_58,A,2024-01-01 00:00:00
user_59,A,2024-01-01 00:00:00
user_59,B,2024-01-01 00:01:00
user_60,A,2024-01-01 00:00:00
user_60,B,2024-01-01 00:02:00
user_61,A,2024-01-01 00:00:00
user_62,A,2024-01-01 00:00:00
user_63,A,2024-01-01 00:00:00
user_63,B,2024-01-01 00:01:00
user_63,C,2024-01-01 00:02:00
user_63,D,2024-01-01 00:04:00
user_63,E,2024-01-01 00:07:00
user_64,A,2024-01-01 00:00:00
user_65,A,2024-01-01 00:00:00
user_65,B,2024-01-01 00:02:00
user_66,A,2024-01-01 00:00:00
user_67,A,2024-01-01 00:00:00
user_67,B,2024-01-01 00:03:00
user_67,C,2024-01-01 00:05:00
user_67,D,2024-01-01 00:06:00
user_67,E,2024-01-01 00:08:00
user_67,F,2024-01-01 00:09:00
user_68,A,2024-01-01 00:00:00
user_68,B,2024-01-01 00:02:00
user_69,A,2024-01-01 00:00:00
user_70,A,2024-01-01 00:00:00
user_71,A,2024-01-01 00:00:00
user_71,B,2024-01-01 00:01:00
user_72,A,2024-01-01 00:00:00
user_72,B,2024-01-01 00:02:00
user_73,A,2024-01-01 00:00:00
user_74,A,2024-01-01 00:00:00
user_74,B,2024-01-01 00:02:00
